id,title,description,availability,condition,price,link,image_link,brand,google_product_category,fb_product_category,quantity_to_sell_on_facebook,sale_price,sale_price_effective_date,item_group_id,gender,color,size,age_group,material,pattern,shipping,shipping_weight,[video][0].url],[video][0].tag[0],[gtin],[product_tags][0],[product_tags][1],[style][0]
124,Izzi 60 Negocio,Tipo: Negocio | Incluye (2): Internet y Telefonía,in stock,new,439.00 MXN,https://tusitio.com/servicios/124,"https://res.cloudinary.com/dl5h1i0up/image/upload/w_500,h_500,c_fill/v1768320093/Internet_telefonia_g5i4nx.jpg",izzi,Electronics > Communications > Telephony > Phone Services,other,,,,1,unisex,,,adult,,,,,,,,Negocio,1,
125,Izzi 60 + izzitv HD,"Tipo: Negocio | Incluye (3): Internet, Telefonía y TV",in stock,new,619.00 MXN,https://tusitio.com/servicios/125,"https://res.cloudinary.com/dl5h1i0up/image/upload/w_500,h_500,c_fill/v1768320093/Internet_telefonia_tv_dhueff.png",izzi,Electronics > Communications > Telephony > Phone Services,other,,,,1,unisex,,,adult,,,,,,,,Negocio,1,
126,IZZI 60,Tipo: Residencial | Incluye (2): Internet y Telefonía,in stock,new,389.00 MXN,https://tusitio.com/servicios/126,"https://res.cloudinary.com/dl5h1i0up/image/upload/w_500,h_500,c_fill/v1768320093/Internet_telefonia_g5i4nx.jpg",izzi,Electronics > Communications > Telephony > Phone Services,other,,,,1,unisex,,,adult,,,,,,,,Residencial,1,
127,IZZI 60 + IzziTV HD,"Tipo: Residencial | Incluye (3): Internet, Telefonía y TV",in stock,new,569.00 MXN,https://tusitio.com/servicios/127,"https://res.cloudinary.com/dl5h1i0up/image/upload/w_500,h_500,c_fill/v1768320093/Internet_telefonia_tv_dhueff.png",izzi,Electronics > Communications > Telephony > Phone Services,other,,,,1,unisex,,,adult,,,,,,,,Residencial,1,
134,Wizz 60,Tipo: Wizz | Incluye (2): Internet y Telefonía,in stock,new,510.00 MXN,https://tusitio.com/servicios/134,"https://res.cloudinary.com/dl5h1i0up/image/upload/w_500,h_500,c_fill/v1768320093/Internet_telefonia_g5i4nx.jpg",izzi,Electronics > Communications > Telephony > Phone Services,other,,,,3,unisex,,,adult,,,,,,,,Wizz,3,
135,Wizz 60 + TV,"Tipo: Wizz | Incluye (3): Internet, Telefonía y TV",in stock,new,690.00 MXN,https://tusitio.com/servicios/135,"https://res.cloudinary.com/dl5h1i0up/image/upload/w_500,h_500,c_fill/v1768320093/Internet_telefonia_tv_dhueff.png",izzi,Electronics > Communications > Telephony > Phone Services,other,,,,3,unisex,,,adult,,,,,,,,Wizz,3,
136,Wizz 40 + Izzi tv HD,"Tipo: Wizz | Incluye (3): Internet, Telefonía y TV",in stock,new,539.00 MXN,https://tusitio.com/servicios/136,"https://res.cloudinary.com/dl5h1i0up/image/upload/w_500,h_500,c_fill/v1768320093/Internet_telefonia_tv_dhueff.png",izzi,Electronics > Communications > Telephony > Phone Services,other,,,,3,unisex,,,adult,,,,,,,,Wizz,3,
137,Wizz 80 + Izzi TV HD,"Tipo: Wizz | Incluye (3): Internet, Telefonía y TV",in stock,new,719.00 MXN,https://tusitio.com/servicios/137,"https://res.cloudinary.com/dl5h1i0up/image/upload/w_500,h_500,c_fill/v1768320093/Internet_telefonia_tv_dhueff.png",izzi,Electronics > Communications > Telephony > Phone Services,other,,,,3,unisex,,,adult,,,,,,,,Wizz,3,
138,WIZZ 80,Tipo: Wizz | Incluye (2): Internet y Telefonía,in stock,new,540.00 MXN,https://tusitio.com/servicios/138,"https://res.cloudinary.com/dl5h1i0up/image/upload/w_500,h_500,c_fill/v1768320093/Internet_telefonia_g5i4nx.jpg",izzi,Electronics > Communications > Telephony > Phone Services,other,,,,3,unisex,,,adult,,,,,,,,Wizz,3,
139,WIZZ 40,Tipo: Wizz | Incluye (2): Internet y Telefonía,in stock,new,389.00 MXN,https://tusitio.com/servicios/139,"https://res.cloudinary.com/dl5h1i0up/image/upload/w_500,h_500,c_fill/v1768320093/Internet_telefonia_g5i4nx.jpg",izzi,Electronics > Communications > Telephony > Phone Services,other,,,,3,unisex,,,adult,,,,,,,,Wizz,3,
